id,Name,Latitude,Longitude
2582,Great Mell Fell,54.619846,-2.935641
2583,Arthur's Pike,54.578426,-2.835799
2587,Bonscale Pike,54.573028,-2.846935
2588,High Hartsop Dodd,54.488623,-2.937691
2589,Sallows,54.428122,-2.869995
2594,Beda Fell [Beda Head],54.54649,-2.884399
2595,Low Pike,54.462069,-2.967985
2597,Little Mell Fell,54.608024,-2.894465
2600,Stone Arthur,54.474276,-3.008366
2606,Baystones [Wansfell],54.438194,-2.921751
2608,Sour Howes,54.421166,-2.883595
2609,Gowbarrow Fell (Wainwright summit),54.58811,-2.918201
2610,Nab Scar,54.456414,-2.995849
2611,Glenridding Dodd,54.54947,-2.959246
2613,Arnison Crag,54.526364,-2.938524
2614,Steel Knotts [Pikeawassa - Steel Knotts],54.555245,-2.866807
2622,Hallin Fell,54.570412,-2.878498
2625,Troutbeck Tongue,54.449952,-2.892312
2626,High Rigg [Naddle Fell],54.588432,-3.071568
2633,The Old Man of Coniston [Coniston Old Man],54.370658,-3.121445
2634,Swirl How,54.395257,-3.121515
2635,Brim Fell,54.377283,-3.124197
2636,Great Carrs,54.398777,-3.124738
2637,Dow Crag,54.3703,-3.136659
2638,Grey Friar,54.393339,-3.141054
2639,Wetherlam,54.400488,-3.097966
2642,Harter Fell (Eskdale),54.386916,-3.204523
2654,Green Crag,54.373706,-3.232832
2672,Holme Fell,54.396301,-3.056527
3727,High Stile,54.521522,-3.287851
